country,year,government_health_expenditure,dpt_immunization,measles_immunization,infant_mortality_rate,malaria_prevalence,maternal_mortality_rate,nurses_midwives_density,physicians_density,tb_prevalence,under_5_mortality_rate,undernourished_population,infant_mortality_rate_risk_scaled,under_5_mortality_rate_risk_scaled,maternal_mortality_rate_risk_scaled,malaria_prevalence_risk_scaled,tb_prevalence_risk_scaled,undernourished_population_risk_scaled,health_risk_score,health_risk_level,government_health_expenditure_readiness_scaled,dpt_immunization_readiness_scaled,measles_immunization_readiness_scaled,nurses_midwives_density_readiness_scaled,physicians_density_readiness_scaled,readiness_score,readiness_level,priority_category,priority_rank
Cambodia,2013,19.1,92.0,93.0,33.0,407.0,170.0,0.956,0.168,764.0,40.0,15.7,0.3705463182897862,0.39368421052631575,0.3601694915254237,0.5080736012016522,0.17217760982522437,0.3065902578796561,35.1873581541343,High,0.011716791979949875,0.8400000000000001,0.890625,0.030144694533762048,0.015792442188381273,35.76557857404187,Low,Emergency Priority,1
Cambodia,2014,3.1,97.0,94.0,33.0,407.0,170.0,0.956,0.168,764.0,40.0,15.0,0.3705463182897862,0.39368421052631575,0.3601694915254237,0.5080736012016522,0.17217760982522437,0.28653295128939826,34.85306971096334,High,0.0016917293233082707,0.94,0.90625,0.030144694533762048,0.015792442188381273,37.877577320909026,Low,Emergency Priority,1
Indonesia,2004,1107.5,86.5,77.2,33.9,100.0,268.0,0.815,0.145,245.0,45.0,18.7,0.3812351543942992,0.44631578947368417,0.5677966101694916,0.12379521842533484,0.04959848842701937,0.39255014326647564,32.68819006927174,High,0.6936716791979949,0.73,0.64375,0.0112540192926045,0.0028200789622109257,41.62991554905621,Medium,High Priority,2
Indonesia,2005,597.6,84.6,72.5,28.9,100.0,268.0,0.815,0.145,260.0,45.0,18.8,0.3218527315914489,0.44631578947368417,0.5677966101694916,0.12379521842533484,0.053141237600377894,0.3954154727793696,31.805284333995115,High,0.37418546365914784,0.692,0.5703125,0.0112540192926045,0.0028200789622109257,33.01144123827927,Low,Emergency Priority,1
Indonesia,2006,165.4,87.1,78.2,30.8,119.2,248.2,0.815,0.145,263.5,44.4,18.8,0.34441805225653205,0.43999999999999995,0.5258474576271186,0.14782826386281137,0.05396787907416155,0.3954154727793696,31.791285426666555,High,0.10338345864661654,0.742,0.659375,0.0112540192926045,0.0028200789622109257,30.376651138028638,Low,Emergency Priority,1
Indonesia,2007,99.8,86.4,75.9,31.6,138.4,228.4,0.815,0.145,267.0,43.8,18.5,0.35391923990498814,0.4336842105263157,0.4838983050847458,0.1718613093002879,0.05479452054794521,0.3868194842406877,31.416284493416175,High,0.06228070175438595,0.7280000000000002,0.6234375000000001,0.0112540192926045,0.0028200789622109257,28.555846000184033,Low,Emergency Priority,1
Indonesia,2008,411.23333333333335,86.1,75.5,32.4,157.6,208.6,0.815,0.145,270.5,43.2,17.7,0.3634204275534441,0.42736842105263156,0.4419491525423729,0.19589435473776443,0.055621162021728864,0.36389684813753576,30.80250610075796,High,0.2574143692564745,0.722,0.6171875,0.0112540192926045,0.0028200789622109257,32.213519350225795,Low,Emergency Priority,1
Indonesia,2009,722.6666666666666,89.1,77.2,33.2,176.8,188.8,0.815,0.145,274.0,42.6,15.9,0.37292161520190026,0.42105263157894735,0.4,0.21992740017524098,0.05644780349551252,0.31232091690544417,29.711172789284085,High,0.45254803675856303,0.782,0.64375,0.0112540192926045,0.0028200789622109257,37.84744270026758,Low,Emergency Priority,1
Indonesia,2010,1034.1,89.8,77.7,34.0,196.0,169.0,1.062,0.14,277.5,42.0,13.5,0.3824228028503563,0.4147368421052631,0.3580508474576271,0.24396044561271749,0.05727444496929617,0.24355300859598852,28.33330652652081,High,0.6476817042606515,0.796,0.6515625,0.04434619506966776,0.0,42.791807986606386,Medium,High Priority,2
Indonesia,2011,1140.2,89.1,76.9,34.0,156.95,176.0,1.2135,0.1705,281.0,32.0,11.1,0.3824228028503563,0.3094736842105263,0.3728813559322034,0.1950807360120165,0.058101086443079826,0.17478510028653296,24.879079428911922,Medium,0.7141604010025062,0.782,0.6390625000000001,0.06464362272240086,0.01720248166948675,44.34138010788787,Medium,Moderate Priority,5
Indonesia,2012,1310.4,90.0,78.0,27.2,117.9,183.0,1.365,0.201,297.0,40.0,9.3,0.30166270783847976,0.39368421052631575,0.3877118644067797,0.14620102641131558,0.06188001889466226,0.12320916905444126,23.572483285533238,Medium,0.8208020050125313,0.8,0.65625,0.08494105037513398,0.034404963338973485,47.927960374532766,Medium,Moderate Priority,5
Indonesia,2013,1596.4,90.3,77.9,27.2,78.85000000000001,190.0,1.365,0.201,297.0,40.0,8.2,0.30166270783847976,0.39368421052631575,0.4025423728813559,0.09732131681061461,0.06188001889466226,0.09169054441260743,22.479686189400596,Medium,0.9999999999999999,0.806,0.6546875000000001,0.08494105037513398,0.034404963338973485,51.600670274282145,Medium,Moderate Priority,5
